arquivo,n_med,n_gab,area_med,area_gab,dif,err_pct
10_c1_nn.jpg,1,1,11.4562335958005,8.5,2.95623359580052,34.7792187741238
10_c2_nn.jpg,1,1,24.2195538057743,6.5,17.7195538057743,272.608520088835
10_c3_nn.jpg,1,1,7.1130291005291,6,1.1130291005291,18.5504850088183
10_c4_nn.jpg,1,1,3.06203703703704,5,-1.93796296296296,38.7592592592593
11_c1_nn.jpg,1,2,1.63917322834646,0.5,1.13917322834646,227.834645669291
11_c2_nn.jpg,1,2,0.503477690288714,0.3,0.203477690288714,67.8258967629046
11_c3_nn.jpg,1,1,0.369685039370079,0.1,0.269685039370079,269.685039370079
12_3_nn.jpg,1,1,0.494685039370079,0.1,0.394685039370079,394.685039370079
12_c1_nn.jpg,1,1,1.22906824146982,0.2,1.02906824146982,514.534120734908
12_c2_nn.jpg,1,1,1.18650793650794,0.1,1.08650793650794,1086.50793650794
1_c1_nn.jpg,1,1,18.5218503937008,17,1.52185039370079,8.9520611394164
1_c2_nn.jpg,1,1,25.1781496062992,22,3.17814960629921,14.4461345740873
1_c3_nn.jpg,2,2,22.9547900262467,20,2.95479002624672,14.7739501312336
2_c1_nn.jpg,1,1,0.379790026246719,1,-0.620209973753281,62.0209973753281
2_c2_nn.jpg,1,1,1.87808398950131,1,0.878083989501312,87.8083989501312
2_c3_nn.jpg,1,1,0.167716535433071,0.25,-0.0822834645669291,32.9133858267717
2_c4_nn.jpg,1,1,2.66246719160105,0.75,1.91246719160105,254.995625546807
3_c1_nn.jpg,2,1,11.1924603174603,16,-4.80753968253968,30.047123015873
3_c2_nn.jpg,1,1,27.0380952380952,18,9.03809523809524,50.2116402116402
3_c3_nn.jpg,1,1,19.8093175853018,17.5,2.30931758530184,13.1961004874391
3_c4_nn.jpg,1,1,44.4690288713911,16,28.4690288713911,177.931430446194
4_c1_nn.jpg,1,1,0.68531746031746,0.75,-0.0646825396825397,8.62433862433862
4_c2_nn.jpg,1,1,0.296560846560847,0.75,-0.453439153439153,60.4585537918871
4_c3_nn.jpg,1,1,0.539219576719577,0.5,0.0392195767195768,7.84391534391535
4_c4_nn.jpg,1,1,1.66332020997375,0.25,1.41332020997375,565.328083989501
5a_c1_nn.jpg,4,2,25.1723544973545,4,21.1723544973545,529.308862433862
5a_c2_nn.jpg,2,2,2.74411375661376,3,-0.255886243386243,8.52954144620811
5a_c3_nn.jpg,2,2,16.0830708661417,2,14.0830708661417,704.153543307087
5a_c4_nn.jpg,1,2,1.10575396825397,2,-0.894246031746032,44.7123015873016
5b_c1_nn.jpg,3,3,24.4031746031746,15,9.40317460317461,62.6878306878307
5b_c2_nn.jpg,4,3,38.251455026455,15,23.251455026455,155.009700176367
5b_c3_nn.jpg,3,3,18.2326771653543,14,4.23267716535433,30.2334083239595
5b_c4_nn.jpg,5,3,26.5875984251969,13,13.5875984251969,104.51998788613
6a_c1_nn.jpg,2,2,34.1833989501312,26,8.18339895013123,31.4746113466586
6a_c2_nn.jpg,3,2,41.4198818897638,25,16.4198818897638,65.6795275590551
6a_c3_nn.jpg,2,2,39.4015748031496,27,12.4015748031496,45.9317585301837
6a_c4_nn.jpg,2,2,48.2204365079365,29.5,18.7204365079365,63.4591068065644
6b_c1_nn.jpg,2,1,135.335039370079,58,77.3350393700788,133.336274775998
6b_c2_nn.jpg,2,2,116.862764550265,72,44.8627645502646,62.3093952087008
6b_c3_nn.jpg,2,1,123.815740740741,87,36.8157407407408,42.3169433801618
6b_c4_nn.jpg,3,1,132.053306878307,100,32.0533068783069,32.0533068783069
7_c1_nn.jpg,1,1,154.802711640212,117,37.8027116402116,32.3100099488988
7_c2_nn.jpg,2,1,99.3048556430446,88,11.3048556430446,12.8464268670962
7_c3_nn.jpg,1,1,105.539173228346,90,15.5391732283465,17.2657480314961
8_c1_nn.jpg,1,1,0.401574803149606,0.6,-0.198425196850394,33.0708661417323
8_c2_nn.jpg,1,1,0.803108465608466,0.4,0.403108465608466,100.777116402116
8_c3_nn.jpg,1,1,0.175727513227513,0.5,-0.324272486772487,64.8544973544974
9_c1_nn.jpg,1,1,2.35682414698163,0.75,1.60682414698163,214.24321959755
9_c2_nn.jpg,1,1,0.224212598425197,0.5,-0.275787401574803,55.1574803149606
9_c3_nn.jpg,1,1,0.186441798941799,0.25,-0.0635582010582011,25.4232804232804
9_c4_nn.jpg,2,1,11.8122354497355,0.1,11.7122354497355,11712.2354497354
